time_stamp;event
0;111
377;200
505;200
766;200
1280;200
1341;200
1602;200
2169;200
2779;200
2779;400
3561;200
3646;200
3708;200
3851;200
3928;200
4055;200
4117;200
4196;200
4310;200
4389;200
4548;200
5309;200
5676;200
6589;200
6964;200
7107;200
7300;200
7300;400
7762;200
8276;200
8353;200
8409;200
8530;200
8803;200
8879;200
9367;200
9584;200
9720;200
10211;200
10877;200
11014;200
11564;200
11615;200
11953;200
12121;200
12303;200
12566;200
12917;200
13311;200
13919;200
13919;400
14597;200
14688;200
14859;200
14916;200
14996;200
15075;200
15261;200
15477;200
15646;200
15755;200
15990;200
16424;200
16639;200
16962;200
17186;200
17308;200
17458;200
17631;200
18133;200
18200;200
18465;200
18651;200
18908;200
19559;200
19886;200
19943;200
20038;200
20148;200
20395;200
20740;200
21098;200
21443;200
21537;200
21732;200
21795;200
22232;200
22636;200
22794;200
23158;200
23347;200
23649;200
23952;200
24014;200
24137;200
24137;400
24567;200
24690;200
24717;200
24792;200
24893;200
25147;200
25306;200
25424;200
25671;200
25880;200
26106;200
26218;200
26344;200
26344;400
26874;200
26927;200
26976;200
27050;200
27194;200
27245;200
27271;200
27289;200
27292;200
27355;200
27428;200
27553;200
27801;200
28010;200
28272;200
28523;200
28667;200
28725;200
29048;200
29226;200
29236;200
29244;200
29333;200
29566;200
29852;200
29852;400
30439;200
30439;400
30912;200
31041;200
31142;200
31209;200
31352;200
31517;200
31734;200
31877;200
32060;200
32060;400
32548;200
32619;200
32647;200
32734;200
32782;200
32851;200
33036;200
33105;200
33182;200
33423;200
33423;400
33966;200
34018;200
34080;200
34152;200
34366;200
34366;400
34741;200
34833;200
34970;200
35063;200
35285;200
35342;200
35497;200
35716;200
35716;400
36201;200
36201;400
36758;200
36850;200
36928;200
37024;200
37024;400
37540;200
37725;200
37796;200
37832;200
37908;200
38144;200
38253;200
38327;200
38478;200
38743;200
38743;400
39208;200
39390;200
39436;200
39523;200
39590;200
39765;200
39873;200
40011;200
40153;200
40390;200
40472;200
40595;200
40978;200
40978;400
41405;200
41469;200
41542;200
41619;200
41712;200
41866;200
42142;200
42209;200
42313;200
42401;200
42619;200
42732;200
42801;200
43938;200
43938;400
44406;200
44517;200
44619;200
44769;200
44827;200
45171;200
45333;200
45421;200
45693;200
45783;200
45911;200
45982;200
46146;200
46502;200
46673;200
47411;200
47411;400
47877;200
47958;200
47997;200
48135;200
48209;200
48344;200
48455;200
48840;200
48908;200
48987;200
49114;200
49294;200
49792;200
49888;200
49997;200
50059;200
50145;200
50326;200
50504;200
50914;200
51003;200
51117;200
51361;200
51493;200
51919;200
52052;200
52111;200
52209;200
52282;200
52377;200
52439;200
52541;200
52701;200
52879;200
52933;200
53389;200
53486;200
53486;400
54103;200
54196;200
54208;200
54291;200
54422;200
54874;200
55018;200
55130;200
55246;200
55369;200
55530;200
56455;200
56592;200
56712;200
57422;200
57542;200
57597;200
57721;200
57782;200
57879;200
58012;200
58161;200
58369;200
58593;200
59054;200
59309;200
60009;200
60187;200
60958;200
61070;200
61383;200
61660;200
61728;200
62362;200
62564;200
63011;200
63202;200
63289;200
63504;200
64592;200
64592;400
65190;200
65288;200
65353;200
65440;200
65586;200
65676;200
65868;200
65973;200
66074;200
66143;200
66252;200
66455;200
66685;200
67181;200
67454;200
67810;200
68298;200
68520;200
68585;200
68656;200
68718;200
68790;200
69298;200
69298;400
69834;200
69922;200
69942;200
70001;200
70101;200
70222;200
70517;200
70824;200
71126;200
71126;400
71672;200
71777;200
71798;200
71862;200
71991;200
72191;200
72313;200
72455;200
72589;200
72771;200
72930;200
73515;200
73602;200
73655;200
73907;200
73974;200
74083;200
74149;200
74270;200
74381;200
77353;200
77498;200
77970;200
79347;200
79857;200
80998;200
81004;200
81064;200
81259;200
81667;200
81667;400
82100;200
82204;200
82431;200
82488;200
82488;400
83059;200
83409;200
83957;200
83957;400
84506;200
84537;200
84805;200
84968;200
85146;200
85536;200
85624;200
86334;200
86423;200
86654;200
86977;200
87375;200
87667;200
87667;400
88155;200
88155;400
88605;200
88619;200
88694;200
88762;200
89379;200
89455;200
89508;200
89589;200
89752;200
89971;200
90073;200
90409;200
90694;200
90812;200
91659;200
91811;200
92469;200
93267;200
93267;400
94360;200
94460;200
95080;200
95197;200
95354;200
95508;200
